Month,Region,Route,Vendor,Package_Count,Driver_Hours,Mileage,Fuel_Used,Delivery_Cost
2023-01,North,1,Vendor B,199,51.44473697348029,269.5022972957794,51.73215030463419,1644.2925687609759
2023-01,North,2,Vendor G,213,75.90122355495726,225.08463105167377,47.98959262437963,2116.544027603288
2023-01,North,3,Vendor D,207,57.952973728461885,279.4517402262891,52.53017361231019,1794.8210395419417
2023-01,North,4,Vendor G,195,80.28263258030373,218.65491058290786,58.91961297600884,2206.1044368838457
2023-01,North,5,Vendor F,194,83.17755509573192,213.68236369542643,52.35054604597847,2911.7558057507786
2023-01,North,6,Vendor A,219,74.18574018974549,274.73355400682453,50.41350001819285,2128.295436253583
2023-01,North,7,Vendor E,192,74.25538593224125,268.0521131916452,47.64504160254792,2076.874111367456
2023-01,North,8,Vendor F,218,69.9158825821968,221.3614569414982,52.59109475222706,2620.680153085171
2023-01,North,9,Vendor E,191,70.18881941129409,223.69664465585367,48.20425753846854,1969.1071476347997
2023-01,North,10,Vendor B,211,78.02154316818864,277.2466637978785,52.232245994083655,2199.975599624751
2023-01,South,1,Vendor C,210,62.576897221237985,198.97587925456503,49.99696824563854,1835.9143767144142
2023-01,South,2,Vendor B,218,73.96123103028195,183.47226761923687,44.159110860748996,2048.785313759428
2023-01,South,3,Vendor G,175,71.1050055773636,219.05823417140505,45.94633373483439,1953.8740532546183
2023-01,South,4,Vendor B,179,56.9004834219227,250.31908805046044,43.31998553782536,1686.6610778822064
2023-01,South,5,Vendor C,206,69.24912213207115,283.4653507428618,47.68904642076087,2007.1287923494226
2023-01,South,6,Vendor F,207,59.01503879916001,247.34367356250962,47.73054291923436,2317.118191541932
2023-01,South,7,Vendor F,214,75.07295089275954,270.0696765431148,48.48878156982962,2768.957319037713
2023-01,South,8,Vendor E,197,83.24788120012258,243.97778032872495,64.90896746877512,2301.571194606012
2023-01,South,9,Vendor E,226,92.39208896551233,218.15769243942646,44.96159087242276,2452.621167391171
2023-01,South,10,Vendor A,198,74.98828823808786,235.92611022027734,47.97994284682601,2082.261259434402
2023-01,East,1,Vendor E,199,74.07450147910458,250.8996878643256,64.80434845231522,2124.9428876576326
2023-01,East,2,Vendor C,171,83.02406985981938,263.26950604493453,46.24635196497201,2213.682156718264
2023-01,East,3,Vendor D,196,72.42973320746779,277.9382800000877,46.13966942986368,2047.7766404389995
2023-01,East,4,Vendor F,177,92.27029566104117,240.99205846243507,43.49373687803951,3101.777066612124
2023-01,East,5,Vendor A,190,99.41221722471914,263.1138033919316,50.46027568655996,2582.493453589222
2023-01,East,6,Vendor D,196,79.76240353387666,287.48339101886177,42.64333246340108,2189.668102679054
2023-01,East,7,Vendor F,188,91.93325635740382,250.92025528212127,46.18325406642444,3132.6971552716095
